"","Facetvar","Approximator","k","Runtime_mean","Runtime_ribbon_min","Runtime_ribbon_max"
"1","n=15, Budget=10000","KernelSHAPIQ",1,0.723788968722026,0.722888283355327,0.724689654088724
"2","n=15, Budget=10000","PermutationIQ",1,0.213858397801717,0.21340310359076,0.214313692012674
"3","n=15, Budget=10000","PermutationIQStratified",1,0.2100830078125,0.209589190564657,0.210576825060343
"4","n=15, Budget=10000","PermutationSamplingSII",1,0.470005424817403,0.469677910237831,0.470332939396976
"5","n=15, Budget=10000","SHAPIQ",1,0.746869293848674,0.746012190428329,0.747726397269018
"6","n=15, Budget=10000","SVARMIQ",1,1.26745839118958,1.26646731527697,1.26844946710218
"7","n=15, Budget=10000","KernelSHAPIQ",2,0.786698309580485,0.785799039179749,0.787597579981221
"8","n=15, Budget=10000","PermutationIQ",2,0.426035173734029,0.423332980525924,0.428737366942135
"9","n=15, Budget=10000","PermutationIQStratified",2,0.417216467857361,0.417006985402722,0.417425950312
"10","n=15, Budget=10000","PermutationSamplingSII",2,0.326653226216634,0.326495658811245,0.326810793622023
"11","n=15, Budget=10000","SHAPIQ",2,0.929832450548808,0.928626255532507,0.931038645565109
"12","n=15, Budget=10000","SVARMIQ",2,8.41574478944143,8.41265192791439,8.41883765096846
"13","n=15, Budget=10000","KernelSHAPIQ",3,1.98303306102753,1.98185255466188,1.98421356739318
"14","n=15, Budget=10000","PermutationIQ",3,1.88376613457998,1.87942029505926,1.88811197410069
"15","n=15, Budget=10000","PermutationIQStratified",3,1.84430887699127,1.8373262322599,1.85129152172264
"16","n=15, Budget=10000","PermutationSamplingSII",3,0.274611973762512,0.274464282491146,0.274759665033878
"17","n=15, Budget=10000","SHAPIQ",3,1.70156571865082,1.69997961506032,1.70315182224132
"18","n=15, Budget=10000","SVARMIQ",3,68.8793613036474,68.8588420325251,68.8998805747696
"19","n=15, Budget=10000","KernelSHAPIQ",4,15.2456730683645,15.2022341353859,15.289112001343
"20","n=15, Budget=10000","PermutationIQ",4,7.91371320883433,7.90413720280517,7.92328921486349
"21","n=15, Budget=10000","PermutationIQStratified",4,8.53293410142263,8.48027684039558,8.58559136244968
"22","n=15, Budget=10000","PermutationSamplingSII",4,0.254745531082153,0.253854608120975,0.255636454043332
"23","n=15, Budget=10000","SHAPIQ",4,4.01352365016937,4.01122360331832,4.01582369702043
"24","n=15, Budget=10000","SVARMIQ",4,428.79727520148,428.541115041142,429.053435361817
"25","n=15, Budget=10000","KernelSHAPIQ",5,106.413795725505,106.317955325103,106.509636125906
"26","n=15, Budget=10000","PermutationIQ",5,25.1211497465769,25.0870320022198,25.1552674909341
"27","n=15, Budget=10000","PermutationIQStratified",5,27.5695381720861,27.497890671432,27.6411856727402
"28","n=15, Budget=10000","PermutationSamplingSII",5,0.229323887825012,0.229219611697666,0.229428163952358
"29","n=15, Budget=10000","SHAPIQ",5,8.84596280256907,8.83859076328006,8.85333484185808
"30","n=15, Budget=10000","SVARMIQ",5,1980.69445699056,1978.96000623868,1982.42890774244
