"","Facetvar","Approximator","n","Runtime_mean","Runtime_ribbon_min","Runtime_ribbon_max"
"1","k=2, Budget=10000","KernelSHAPIQ",15,0.779878528912862,0.77852021600482,0.781236841820905
"2","k=2, Budget=10000","PermutationIQ",15,0.418018492062887,0.417654003713565,0.418382980412208
"3","k=2, Budget=10000","PermutationIQStratified",15,0.408286921183268,0.405850329699532,0.410723512667005
"4","k=2, Budget=10000","PermutationSamplingSII",15,0.323014791806539,0.32282236552635,0.323207218086728
"5","k=2, Budget=10000","SHAPIQ",15,0.919462426503499,0.918516950422077,0.920407902584921
"6","k=2, Budget=10000","SVARMIQ",15,8.37236941655477,8.36709619537015,8.37764263773939
"7","k=2, Budget=10000","KernelSHAPIQ",30,1.19175854523977,1.19071691003045,1.19280018044908
"8","k=2, Budget=10000","PermutationIQ",30,0.72138500213623,0.72092752565943,0.721842478613031
"9","k=2, Budget=10000","PermutationIQStratified",30,0.769373536109924,0.761944400732244,0.776802671487604
"10","k=2, Budget=10000","PermutationSamplingSII",30,0.381983828544617,0.381725559662121,0.382242097427112
"11","k=2, Budget=10000","SHAPIQ",30,1.70022154649099,1.6993687149441,1.70107437803787
"12","k=2, Budget=10000","SVARMIQ",30,66.5001909971237,66.4620018581719,66.5383801360756
"13","k=2, Budget=10000","KernelSHAPIQ",50,3.06653385957082,3.04107466564141,3.09199305350024
"14","k=2, Budget=10000","PermutationIQ",50,1.17752827803294,1.17433047086943,1.18072608519645
"15","k=2, Budget=10000","PermutationIQStratified",50,1.54907535711924,1.50159585738015,1.59655485685834
"16","k=2, Budget=10000","PermutationSamplingSII",50,0.504349899291992,0.503819991746569,0.504879806837415
"17","k=2, Budget=10000","SHAPIQ",50,4.31874441305796,4.30771719079444,4.32977163532148
"18","k=2, Budget=10000","SVARMIQ",50,376.159765887261,375.955717765828,376.363814008693
"19","k=2, Budget=10000","KernelSHAPIQ",70,7.07776079177856,7.04028942993265,7.11523215362447
"20","k=2, Budget=10000","PermutationIQ",70,1.67014761765798,1.66679179689452,1.67350343842143
"21","k=2, Budget=10000","PermutationIQStratified",70,2.37938468456268,2.36373519957769,2.39503416954768
"22","k=2, Budget=10000","PermutationSamplingSII",70,0.696691584587097,0.696010628758192,0.697372540416002
"23","k=2, Budget=10000","SHAPIQ",70,9.06341552734375,9.04944528653615,9.07738576815135
"24","k=2, Budget=10000","SVARMIQ",70,1232.20283165773,1231.27433958334,1233.13132373211
"25","k=2, Budget=10000","KernelSHAPIQ",85,12.4218756039937,12.4067045015527,12.4370467064348
"26","k=2, Budget=10000","PermutationIQ",85,2.19893696308136,2.19507459612801,2.20279933003471
"27","k=2, Budget=10000","PermutationIQStratified",85,3.33100179831187,3.29543258861022,3.36657100801352
"28","k=2, Budget=10000","PermutationSamplingSII",85,0.761328864097595,0.759614171329656,0.763043556865534
"29","k=2, Budget=10000","SHAPIQ",85,15.3926947037379,15.3304101898716,15.4549792176042
"30","k=2, Budget=10000","SVARMIQ",85,2659.04910809199,2650.64930182421,2667.44891435977
"31","k=2, Budget=10000","KernelSHAPIQ",100,20.8784010330836,20.8740999255159,20.8827021406513
"32","k=2, Budget=10000","PermutationIQ",100,2.70404444535573,2.69817274912461,2.70991614158686
"33","k=2, Budget=10000","PermutationIQStratified",100,4.34817580382029,4.32587817831871,4.37047342932188
"34","k=2, Budget=10000","PermutationSamplingSII",100,0.839990925788879,0.839295676476398,0.84068617510136
"35","k=2, Budget=10000","SHAPIQ",100,22.6942016998927,22.607217177874,22.7811862219114
