Game,n,k,Approximator,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se,Iterations
SOUM,15,2,KernelSHAPIQ,10000,0.03853266396642897,0.02806516262544887,0.01868759715887083,0.05837773077398712,0.019845066807558143,0.8,0.0,0.8,0.8,0.0,0.8157113790512085,0.03136686477356564,0.7935316562652588,0.8378911018371582,0.022179722785949707,2
SOUM,15,2,PermutationIQ,10000,0.013541025573724767,0.006279289796610761,0.0091008971775058,0.017981153969943733,0.004440128396218966,0.9,0.0,0.9,0.9,0.0,0.415055513381958,0.004423733219703438,0.4119274616241455,0.4181835651397705,0.0031280517578125,2
SOUM,15,2,PermutationIQStratified,10000,0.010260011639539969,0.0035943590560489416,0.007718415976988486,0.012801607302091454,0.0025415956625514835,0.95,0.0707106781186547,0.9,1.0,0.04999999999999999,0.4081902503967285,0.000515877425773343,0.4078254699707031,0.4085550308227539,0.0003647804260253906,2
SOUM,15,2,PermutationSamplingSII,10000,0.19436643875858695,0.07602769832158204,0.1406067377173912,0.2481261397997827,0.053759701041195734,0.35,0.21213203435596423,0.2,0.5,0.15,0.32615041732788086,0.0009407176587631548,0.3254852294921875,0.3268156051635742,0.0006651878356933594,2
SOUM,15,2,SHAPIQ,10000,0.0013334547105284984,3.686320961710431e-05,0.0013073884850319428,0.001359520936025054,2.606622549655561e-05,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,0.935117244720459,0.0006959287626118822,0.9346251487731934,0.9356093406677246,0.000492095947265625,2
SOUM,15,2,SVARMIQ,10000,0.0010621566776294485,0.00020146306008926587,0.0009197007816817358,0.0012046125735771613,0.00014245589594771274,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,8.475672960281372,0.00845735520959004,8.469692707061768,8.481653213500977,0.005980253219604491,2
SOUM,30,2,KernelSHAPIQ,10000,0.583681391484221,0.7469579778877223,0.05550234005842146,1.1118604429100207,0.5281790514257997,0.2,0.28284271247461906,0.0,0.4,0.2,1.2020063400268555,0.006841613625076406,1.1971685886383057,1.2068440914154053,0.004837751388549805,2
SOUM,30,2,PermutationIQ,10000,0.02502319335287828,0.0037128999703824866,0.022397776605953493,0.02764861009980307,0.0026254167469247874,0.44999999999999996,0.21213203435596423,0.3,0.6,0.15,0.7238081693649292,0.002229231111438207,0.7222318649291992,0.7253844738006592,0.0015763044357299803,2
SOUM,30,2,PermutationIQStratified,10000,0.025507441095273597,0.0016855941564850802,0.024315546036894578,0.026699336153652616,0.0011918950583790187,0.5,0.0,0.5,0.5,0.0,0.7791411876678467,0.05173137903705942,0.7425615787506104,0.815720796585083,0.03657960891723632,2
SOUM,30,2,PermutationSamplingSII,10000,0.41570317154906045,0.25207247245509334,0.23746101692560473,0.5939453261725162,0.17824215462345572,0.0,0.0,0.0,0.0,0.0,0.38497447967529297,0.0012917166131618803,0.3840610980987549,0.38588786125183105,0.0009133815765380858,2
SOUM,30,2,SHAPIQ,10000,0.0184016037150909,0.012771841539041708,0.009370547954594476,0.027432659475587325,0.009031055760496424,0.5,0.14142135623730948,0.4,0.6,0.09999999999999998,1.7191306352615356,0.0002075310820676422,1.7189838886260986,1.7192773818969727,0.00014674663543701172,2
SOUM,30,2,SVARMIQ,10000,0.0037429908782825603,0.0009722027098331029,0.0030555397494716357,0.004430442007093484,0.0006874511288109242,0.7,0.0,0.7,0.7,0.0,67.26799869537354,0.07142440971007763,67.2174940109253,67.31850337982178,0.05050468444824218,2
SOUM,50,2,KernelSHAPIQ,10000,0.36614978158211053,0.3591565948926753,0.11218771782563007,0.620111845338591,0.25396206375648045,0.0,0.0,0.0,0.0,0.0,3.0171419382095337,0.0026362010806594,3.015277862548828,3.0190060138702393,0.0018640756607055664,2
SOUM,50,2,PermutationIQ,10000,0.032284994717168426,0.009566862939345586,0.025520201058074895,0.039049788376261954,0.00676479365909353,0.0,0.0,0.0,0.0,0.0,1.1791399717330933,0.018906233305016843,1.165771245956421,1.1925086975097656,0.013368725776672362,2
SOUM,50,2,PermutationIQStratified,10000,0.0460607946906007,0.009502980248856383,0.039341172915152524,0.05278041646604887,0.006719621775448173,0.0,0.0,0.0,0.0,0.0,1.4603796005249023,0.02064790967288103,1.4457793235778809,1.4749798774719238,0.014600276947021484,2
SOUM,50,2,PermutationSamplingSII,10000,0.22944079462051073,0.1063104649804903,0.15426794392171106,0.3046136453193104,0.07517285069879967,0.0,0.0,0.0,0.0,0.0,0.5082781314849854,0.0014006240697140304,0.5072877407073975,0.5092685222625732,0.0009903907775878904,2
SOUM,50,2,SHAPIQ,10000,0.025889838268003357,0.007916548760142321,0.020291992956112767,0.03148768357989395,0.00559784531189059,0.15000000000000002,0.07071067811865477,0.1,0.2,0.05,4.283101320266724,0.005240707731238608,4.279395580291748,4.286807060241699,0.003705739974975586,2
SOUM,50,2,SVARMIQ,10000,0.014331380083844087,0.003834972893975855,0.011619644744847162,0.017043115422841013,0.002711735338996926,0.35,0.07071067811865477,0.3,0.4,0.05,374.43696224689484,0.9719402127274192,373.7496967315674,375.1242277622223,0.6872655153274536,2
SOUM,75,2,KernelSHAPIQ,10000,4.256729187724499,0.5627579833794842,3.8587992015099997,4.654659173938999,0.3979299862144996,0.0,0.0,0.0,0.0,0.0,8.534311175346375,0.016706504987536265,8.52249789237976,8.546124458312988,0.01181328296661377,2
SOUM,75,2,PermutationIQ,10000,0.05795936197610935,0.014498710726482154,0.04770722530295168,0.06821149864926701,0.010252136673157667,0.05,0.07071067811865477,0.0,0.1,0.05,1.8264684677124023,0.00661267194396523,1.8217926025390625,1.8311443328857422,0.004675865173339844,2
SOUM,75,2,PermutationIQStratified,10000,0.061606983534163245,0.012842412127055015,0.05252602683233029,0.0706879402359962,0.009080956701832954,0.05,0.07071067811865477,0.0,0.1,0.05,2.6587560176849365,0.1050700702889303,2.5844602584838867,2.7330517768859863,0.0742957592010498,2
SOUM,75,2,PermutationSamplingSII,10000,0.13894799662509685,0.05050846929964228,0.10323311547596724,0.17466287777422645,0.0357148811491296,0.0,0.0,0.0,0.0,0.0,0.7110090255737305,0.004860037395488213,0.7075724601745605,0.7144455909729004,0.003436565399169922,2
SOUM,75,2,SHAPIQ,10000,0.025890030220323896,0.0035050649041362164,0.0234115750581102,0.02836848538253759,0.002478455162213695,0.30000000000000004,0.1414213562373095,0.2,0.4,0.1,11.19225811958313,0.043400464373002066,11.161569356918335,11.222946882247925,0.030688762664794922,2
SOUM,75,2,SVARMIQ,10000,0.01655820439029431,0.0010838401672087043,0.015791813658338674,0.017324595122249944,0.0007663907319556354,0.55,0.07071067811865478,0.5,0.6,0.04999999999999999,1641.9109584093094,20.230415298411877,1627.6058945655823,1656.2160222530365,14.30506384372711,2
SOUM,100,2,KernelSHAPIQ,10000,14.05136148736672,18.747166142064916,0.7951131802817696,27.30760979445167,13.256248307084949,0.0,0.0,0.0,0.0,0.0,20.828981280326843,0.017873466929105897,20.81634283065796,20.841619729995728,0.012638449668884277,2
SOUM,100,2,PermutationIQ,10000,0.08694686536097918,0.031186200082756244,0.06489489180302177,0.1089988389189366,0.022051973557957412,0.0,0.0,0.0,0.0,0.0,2.5931731462478638,0.04636608522162261,2.560387372970581,2.6259589195251465,0.032785773277282715,2
SOUM,100,2,PermutationIQStratified,10000,0.10724589857458933,0.04777121839450136,0.07346654610229388,0.14102525104688476,0.033779352472295444,0.0,0.0,0.0,0.0,0.0,4.3741055727005005,0.11971340274816128,4.289455413818359,4.458755731582642,0.08465015888214111,2
SOUM,100,2,PermutationSamplingSII,10000,0.07264308049575065,0.023678477786534605,0.055899868284717,0.0893862927067843,0.016743212211033653,0.0,0.0,0.0,0.0,0.0,0.8345655202865601,0.0013589829833852672,0.8336045742034912,0.8355264663696289,0.0009609460830688477,2
SOUM,100,2,SHAPIQ,10000,0.026471143614398306,0.008897807107470974,0.02017944387101572,0.03276284335778089,0.006291699743382583,0.1,0.14142135623730953,0.0,0.2,0.1,21.65012037754059,0.16743611072965253,21.53172516822815,21.768515586853027,0.11839520931243895,2
